,pearson_train,pearson_dev,pearson_test,ktau_train,ktau_dev,ktau_test
"{'lower': False, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.2823285529270604,0.2844257998762204,0.2790401014428503,0.19260225983231818,0.19297772631890375,0.19098461506922673
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.2768929519145845,0.2773122918950829,0.26651249121226567,0.19233053820232626,0.20040835033166293,0.18347799958951025
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': True, 'remove_stop': False, 'remove_tag': False, 'lemmatize': False, 'stemmer': False}",0.2735706921935401,0.2778718195542883,0.270657465382381,0.18747576283295522,0.18886314274345609,0.18448087646452102
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.27192805893346517,0.27734561983828765,0.27490091739690714,0.1865585118695386,0.18841679091219957,0.18971763919274223
"{'lower': False, 'keep_numbers': False, 'keep_expression': True, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.2938737262250807,0.2868682813047691,0.2731319358141838,0.2025175881579333,0.2038556481137488,0.1889244347212627
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': False, 'lemmatize': True, 'stemmer': False}",0.27206715896108774,0.277540177511256,0.2714371927932401,0.1858580899969071,0.1865629016614378,0.1852823863659282
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.2718827469060918,0.27703158195785704,0.2720434594069162,0.18568868606043287,0.18616085833761015,0.18570729910837086
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': False, 'remove_tag': False, 'lemmatize': False, 'stemmer': False}",0.2732228217601007,0.2773482817292986,0.26990642309737956,0.1872611634325806,0.18866057870053013,0.18406341757772077
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': True, 'remove_tag': True, 'lemmatize': False, 'stemmer': True}",0.27738609272572956,0.27885846585024865,0.2713253593991192,0.19277381106360236,0.2020020745175561,0.18954660657553288
"{'lower': False, 'keep_numbers': False, 'keep_expression': True, 'remove_char': True, 'remove_stop': True, 'remove_tag': True, 'lemmatize': False, 'stemmer': True}",0.2940438790644045,0.28725436345867866,0.27438312921230457,0.2024646383927147,0.20451815280166866,0.1896257891432817
"{'lower': False, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.27435494126204507,0.2777869432011847,0.27163219486311396,0.18749285281250838,0.18812758399414917,0.18611773385878597
"{'lower': True, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.2828465780959261,0.2791384732891333,0.2686668717221288,0.1967924272860526,0.2007965178670154,0.18469958630891103
"{'lower': False, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.29361474811475224,0.2874616033301292,0.27644732410291223,0.20232381876955804,0.20527129613571465,0.19005394147697238
"{'lower': False, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.2825483514670158,0.28541160586485215,0.2780036555205012,0.1928205989561878,0.19397518380166512,0.19102430884336397
"{'lower': False, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.27300280415561806,0.2782212626600034,0.2759743982621404,0.1872395136568823,0.19003076213569786,0.1905701178678743
"{'lower': False, 'keep_numbers': False, 'keep_expression': True, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': False, 'stemmer': True}",0.2722899667738231,0.2780832294592778,0.27602606105263994,0.18697386520770268,0.18939201591731278,0.19016856531640067
"{'lower': True, 'keep_numbers': True, 'keep_expression': False, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.27760866922334326,0.2793293740517366,0.27135302275459694,0.19294546223398626,0.20212594245478563,0.1890405727371673
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.27298338280068773,0.27886294399736794,0.2757906184147082,0.18720456682329165,0.1905658861009457,0.19059937259757712
"{'lower': False, 'keep_numbers': True, 'keep_expression': False, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.2874083454655614,0.2864619300219924,0.27703561416717176,0.19880944455555014,0.20563629771151506,0.19310446841935175
"{'lower': False, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.272284108980937,0.2782262310082279,0.274299909723034,0.18677514886415772,0.18910174504988467,0.18931419299326346
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.27290734201932976,0.275574198141664,0.27267927050028207,0.18615167572524183,0.18452503096245396,0.18626793936530694
"{'lower': False, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.2720080216595445,0.2757599056583685,0.2689994307402125,0.18613770363792434,0.18540691172821216,0.18273425024783532
"{'lower': False, 'keep_numbers': True, 'keep_expression': True, 'remove_char': True, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.2832731307888511,0.2863249174504149,0.27945158472566767,0.19333912624277172,0.19478140602865557,0.19201721495829807
"{'lower': False, 'keep_numbers': False, 'keep_expression': True, 'remove_char': True, 'remove_stop': False, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.2711545787834094,0.2738871345850386,0.2682345129289788,0.18530399979135267,0.1840640592584757,0.18249489706997277
