,keep_expression,keep_numbers,lemmatize,lower,remove_char,remove_stop,remove_tag,stemmer,pearson_train,kendal_train,pearson_dev,kendal_dev
0,True,True,False,True,True,True,True,True,0.5031700995762389,0.3264564886360451,0.5234145750195113,0.35340738233763574
1,True,True,False,True,True,True,True,False,0.4594792526670112,0.30674732100032376,0.4658887661228873,0.3179678613812035
2,True,True,False,True,True,True,False,True,0.5031700995762389,0.3264564886360451,0.5234145750195113,0.35340738233763574
3,True,True,False,True,True,True,False,False,0.4594792526670112,0.30674732100032376,0.4658887661228873,0.3179678613812035
4,True,True,False,True,True,False,True,True,0.5233500257459013,0.33308860645979155,0.5521395244681351,0.37956982158244534
5,True,True,False,True,True,False,True,False,0.4879689557310929,0.3165343311595732,0.5133702938803528,0.3548932706796335
6,True,True,False,True,True,False,False,True,0.5233500257459013,0.33308860645979155,0.5521395244681351,0.37956982158244534
7,True,True,False,True,True,False,False,False,0.4879689557310929,0.3165343311595732,0.5133702938803528,0.3548932706796335
8,True,True,False,True,False,True,True,True,0.45413643093596595,0.29754550828419585,0.44495353598604626,0.30109449412192546
9,True,True,False,True,False,True,True,False,0.43039862580354366,0.2864682921322096,0.4337156856363029,0.29423437422588555
10,True,True,False,True,False,True,False,True,0.45413643093596595,0.29754550828419585,0.44495353598604626,0.30109449412192546
11,True,True,False,True,False,True,False,False,0.43039862580354366,0.2864682921322096,0.4337156856363029,0.29423437422588555
12,True,True,False,True,False,False,True,True,0.47885387269288826,0.3024191022736696,0.5026209662278569,0.333592766747104
13,True,True,False,True,False,False,True,False,0.4683911953347246,0.300046314649797,0.4849728233340249,0.33053320780483325
14,True,True,False,True,False,False,False,True,0.47885387269288826,0.3024191022736696,0.5026209662278569,0.333592766747104
15,True,True,False,True,False,False,False,False,0.4683911953347246,0.300046314649797,0.4849728233340249,0.33053320780483325
16,True,True,False,False,True,True,True,True,0.5073781897277212,0.32766640763680954,0.5151822899340357,0.351158451784913
17,True,True,False,False,True,True,True,False,0.46494523766558304,0.30817101457707297,0.47663199255638206,0.3281982684820746
18,True,True,False,False,True,True,False,True,0.5073781897277212,0.32766640763680954,0.5151822899340357,0.351158451784913
19,True,True,False,False,True,True,False,False,0.46494523766558304,0.30817101457707297,0.47663199255638206,0.3281982684820746
20,True,True,False,False,True,False,True,True,0.5233500257459013,0.33308860645979155,0.5521395244681351,0.37956982158244534
21,True,True,False,False,True,False,True,False,0.4879689557310929,0.3165343311595732,0.5133702938803528,0.3548932706796335
22,True,True,False,False,True,False,False,True,0.5233500257459013,0.33308860645979155,0.5521395244681351,0.37956982158244534
23,True,True,False,False,True,False,False,False,0.4879689557310929,0.3165343311595732,0.5133702938803528,0.3548932706796335
24,True,True,False,False,False,True,True,True,0.4543777569650532,0.2945771039045729,0.46804945716361723,0.3128827934791102
25,True,True,False,False,False,True,True,False,0.4331899912950839,0.2860080663025903,0.4414335592911435,0.3013266159247059
