,keep_expression,keep_numbers,lemmatize,lower,remove_char,remove_stop,remove_tag,stemmer,pearson_train,kendal_train,pearson_dev,kendal_dev
0,True,True,False,True,True,True,True,True,0.47360418630944906,0.310665339753147,0.5016017766941836,0.34334206224134456
1,True,True,False,True,True,True,True,False,0.4351800070866625,0.2941932370928627,0.4468464771549866,0.3097268349532795
2,True,True,False,True,True,True,False,True,0.47360418630944906,0.310665339753147,0.5016017766941836,0.34334206224134456
3,True,True,False,True,True,True,False,False,0.4351800070866625,0.2941932370928627,0.4468464771549866,0.3097268349532795
4,True,True,False,True,True,False,True,True,0.4918760591340378,0.3178287247497118,0.5271062016443692,0.36770606297101766
5,True,True,False,True,True,False,True,False,0.4627241178961775,0.30536821412418225,0.4936406325112113,0.3445416511128345
6,True,True,False,True,True,False,False,True,0.4918760591340378,0.3178287247497118,0.5271062016443692,0.36770606297101766
7,True,True,False,True,True,False,False,False,0.4627241178961775,0.30536821412418225,0.4936406325112113,0.3445416511128345
8,True,True,False,True,False,True,True,True,0.4263919827622659,0.282845389774529,0.4264657826249515,0.29604478123322725
9,True,True,False,True,False,True,True,False,0.40729351034361316,0.2751871896061879,0.406276658036756,0.2805126806365338
10,True,True,False,True,False,True,False,True,0.4263919827622659,0.282845389774529,0.4264657826249515,0.29604478123322725
11,True,True,False,True,False,True,False,False,0.40729351034361316,0.2751871896061879,0.406276658036756,0.2805126806365338
12,True,True,False,True,False,False,True,True,0.45182627531327074,0.29044879335448937,0.47970634156616476,0.3266136145802201
13,True,True,False,True,False,False,True,False,0.44505469485853616,0.29043657889118873,0.4587223249911555,0.31620991479123983
14,True,True,False,True,False,False,False,True,0.45182627531327074,0.29044879335448937,0.47970634156616476,0.3266136145802201
15,True,True,False,True,False,False,False,False,0.44505469485853616,0.29043657889118873,0.4587223249911555,0.31620991479123983
16,True,True,False,False,True,True,True,True,0.47606137860482367,0.3113077118108185,0.49370749491765464,0.3408710423287464
17,True,True,False,False,True,True,True,False,0.43892195160601444,0.2949996314759159,0.45828289455127813,0.3198139706556769
18,True,True,False,False,True,True,False,True,0.47606137860482367,0.3113077118108185,0.49370749491765464,0.3408710423287464
19,True,True,False,False,True,True,False,False,0.43892195160601444,0.2949996314759159,0.45828289455127813,0.3198139706556769
20,True,True,False,False,True,False,True,True,0.4918760591340378,0.3178287247497118,0.5271062016443692,0.36770606297101766
21,True,True,False,False,True,False,True,False,0.4627241178961775,0.30536821412418225,0.4936406325112113,0.3445416511128345
22,True,True,False,False,True,False,False,True,0.4918760591340378,0.3178287247497118,0.5271062016443692,0.36770606297101766
23,True,True,False,False,True,False,False,False,0.4627241178961775,0.30536821412418225,0.4936406325112113,0.3445416511128345
24,True,True,False,False,False,True,True,True,0.4255449614086996,0.27956998385725346,0.44832150094729806,0.3065201797614916
25,True,True,False,False,False,True,True,False,0.4088819331342722,0.27468187055096094,0.4148843770886338,0.2879586363491442
26,True,True,False,False,False,True,False,True,0.4255449614086996,0.27956998385725346,0.44832150094729806,0.3065201797614916
27,True,True,False,False,False,True,False,False,0.4088819331342722,0.27468187055096094,0.4148843770886338,0.2879586363491442
28,True,True,False,False,False,False,True,True,0.45182627531327074,0.29044879335448937,0.47970634156616476,0.3266136145802201
29,True,True,False,False,False,False,True,False,0.44505469485853616,0.29043657889118873,0.4587223249911555,0.31620991479123983
30,True,True,False,False,False,False,False,True,0.45182627531327074,0.29044879335448937,0.47970634156616476,0.3266136145802201
31,True,True,False,False,False,False,False,False,0.44505469485853616,0.29043657889118873,0.4587223249911555,0.31620991479123983
32,True,False,False,True,True,True,True,True,0.47698997106275487,0.31322556540335295,0.4882206101397965,0.3383657729817673
33,True,False,False,True,True,True,True,False,0.4404828139259023,0.29563874559269687,0.4692422349021105,0.3214632473200755
34,True,False,False,True,True,True,False,True,0.47698997106275487,0.31322556540335295,0.4882206101397965,0.3383657729817673
35,True,False,False,True,True,True,False,False,0.4404828139259023,0.29563874559269687,0.4692422349021105,0.3214632473200755
36,True,False,False,True,True,False,True,True,0.49554908739039,0.3204705450895077,0.5306201616680227,0.3691372623505899
37,True,False,False,True,True,False,True,False,0.46420253061180833,0.3043933060300377,0.5016186394745661,0.348524034916014
38,True,False,False,True,True,False,False,True,0.49554908739039,0.3204705450895077,0.5306201616680227,0.3691372623505899
39,True,False,False,True,True,False,False,False,0.46420253061180833,0.3043933060300377,0.5016186394745661,0.348524034916014
40,True,False,False,True,False,True,True,True,0.4205975566229336,0.28086124760257686,0.42525023093549064,0.29740442492349545
41,True,False,False,True,False,True,True,False,0.4053422919142052,0.27399333594410397,0.4115114645151544,0.2851242457769363
42,True,False,False,True,False,True,False,True,0.4205975566229336,0.28086124760257686,0.42525023093549064,0.29740442492349545
43,True,False,False,True,False,True,False,False,0.4053422919142052,0.27399333594410397,0.4115114645151544,0.2851242457769363
44,True,False,False,True,False,False,True,True,0.4505719123440821,0.290858987022228,0.48491878206077416,0.3313038262382407
45,True,False,False,True,False,False,True,False,0.4447654390613472,0.2900298518819532,0.4622422454543351,0.32015727411979306
46,True,False,False,True,False,False,False,True,0.4505719123440821,0.290858987022228,0.48491878206077416,0.3313038262382407
47,True,False,False,True,False,False,False,False,0.4447654390613472,0.2900298518819532,0.4622422454543351,0.32015727411979306
48,True,False,False,False,True,True,True,True,0.47940303972880954,0.31351607493737454,0.503630729492655,0.3462399459680395
49,True,False,False,False,True,True,True,False,0.44192575774706944,0.2948283782815327,0.46277263466498014,0.32122590855185856
50,True,False,False,False,True,True,False,True,0.47940303972880954,0.31351607493737454,0.503630729492655,0.3462399459680395
51,True,False,False,False,True,True,False,False,0.44192575774706944,0.2948283782815327,0.46277263466498014,0.32122590855185856
52,True,False,False,False,True,False,True,True,0.49554908739039,0.3204705450895077,0.5306201616680227,0.3691372623505899
53,True,False,False,False,True,False,True,False,0.46420253061180833,0.3043933060300377,0.5016186394745661,0.348524034916014
54,True,False,False,False,True,False,False,True,0.49554908739039,0.3204705450895077,0.5306201616680227,0.3691372623505899
55,True,False,False,False,True,False,False,False,0.46420253061180833,0.3043933060300377,0.5016186394745661,0.348524034916014
